cur_date,ma_ck,al,_id
14/08/2020,PNJ,59.9,5f3606f8ee006762bcc765dc
cur_date,ma_ck,al,_id
14/08/2020 10:59:45,SJC,1.5,5f360c317c5399da9cbbcab3
cur_date,ma_ck,al,_id
14/08/2020 11:00:14,PNJ,59.9,5f360c4e114db62341d17c70
