gia_san,tong_kl,kl_2_sell,gia_1_sell,khoi_luong,gia_2_sell,kl_1_sell,gia_3_sell,gia_tham_chieu,gia,ma_ck,kl_2_buy,gia_1_buy,timestamp,kl_1_buy,gia_thap,kl_3_buy,gia_3_buy,tang_giam,gia_tran,gia_2_buy,gia_cao,kl_3_sell,_id
80.1,"12,20",20,87.0,"3,40",87.3,"3,40",87.5,88.9,87.0,LHC,"4,00",86.5,14/08/2020 18:00:52,10,85.0,LHC,86.0,-1.9,97.7,86.1,88.5,30,5f366ee466fbabd3d9656885
10.1,"8,807,48","314,32",10.75,"484,58",10.8,"226,20",10.85,10.85,10.7,STB,"411,73",10.7,14/08/2020 18:00:56,"279,13",10.65,STB,10.6,-0.15,11.6,10.65,10.85,"432,01",5f366ee866fbabd3d9656886
